Date,Open,High,Low,Close,Volume
2017-12-15,92.9342,92.953,92.9251,92.953,858307
2017-12-18,92.9604,92.9604,92.9342,92.9342,783249
2017-12-19,92.953,92.953,92.9342,92.9435,944768
2017-12-20,92.953,92.9604,92.9342,92.953,1420344
2017-12-21,92.9604,92.9604,92.9435,92.9604,719041
2017-12-22,92.953,92.9786,92.953,92.9694,2710002
2017-12-26,92.9604,92.9786,92.9604,92.9694,958818
2017-12-27,92.9786,92.9869,92.9604,92.9694,758928
2017-12-28,92.9604,92.9933,92.9604,92.9933,443783
2017-12-29,92.9933,92.9933,92.9786,92.9933,632533
2018-01-02,92.9933,92.9933,92.9694,92.9786,820874
2018-01-03,92.9786,92.9933,92.9694,92.9869,648181
2018-01-04,92.9869,93.0018,92.9786,93.0018,655656
2018-01-05,92.9933,93.0091,92.9869,93.0018,284664
2018-01-08,93.0018,93.0091,92.9933,93.0018,514051
2018-01-09,92.9933,93.0091,92.9933,93.0018,486920
2018-01-10,93.0018,93.0091,92.9869,92.9933,1672858
2018-01-11,93.0018,93.0091,92.9933,93.0018,925826
2018-01-12,93.0018,93.0186,93.0018,93.0091,833826
2018-01-16,93.0186,93.037,93.0091,93.0186,1202156
2018-01-17,93.0186,93.037,93.0186,93.0276,1004343
2018-01-18,93.0276,93.0456,93.0186,93.037,624986
2018-01-19,93.0456,93.0456,93.037,93.037,1471056
2018-01-22,93.037,93.0456,93.037,93.0456,1008752
2018-01-23,93.0456,93.0546,93.037,93.037,633380
2018-01-24,93.0456,93.0546,93.0456,93.0456,1793761
2018-01-25,93.0546,93.064,93.0456,93.0546,2895514
2018-01-26,93.064,93.0725,93.0546,93.064,1218756
2018-01-29,93.0546,93.0725,93.0546,93.064,744564
2018-01-30,93.064,93.0816,93.0546,93.064,1474851
2018-01-31,93.0725,93.1087,93.0546,93.1087,980288
2018-02-01,93.0816,93.0816,93.064,93.064,2143832
2018-02-02,93.0816,93.0909,93.064,93.0816,1424044
2018-02-05,93.1262,93.1262,93.0816,93.1087,1230364
2018-02-06,93.0909,93.0994,93.0725,93.0816,3434504
2018-02-07,93.0725,93.0816,93.064,93.0816,1395469
2018-02-08,93.0816,93.0909,93.0546,93.0909,5375553
2018-02-09,93.0725,93.0994,93.064,93.0816,2667306
2018-02-12,93.064,93.0909,93.064,93.0816,1341506
2018-02-13,93.0816,93.0816,93.0546,93.064,1237696
2018-02-14,93.0816,93.0816,93.064,93.064,542378
2018-02-15,93.064,93.0909,93.064,93.0909,1105881
2018-02-16,93.0909,93.0994,93.0909,93.0994,1383016
2018-02-20,93.0816,93.1087,93.0816,93.0994,3023598
2018-02-21,93.1087,93.117,93.0909,93.1087,816444
2018-02-22,93.1087,93.117,93.0994,93.1087,1845322
2018-02-23,93.117,93.1262,93.1087,93.117,621862
2018-02-26,93.1356,93.1356,93.1087,93.1087,638127
2018-02-27,93.117,93.1262,93.0909,93.117,1866398
2018-02-28,93.1262,93.1262,93.1087,93.117,770348
2018-03-01,93.1356,93.1533,93.117,93.1356,1440823
2018-03-02,93.1356,93.1449,93.1262,93.1262,738879
2018-03-05,93.1449,93.1533,93.1262,93.1262,1380835
2018-03-06,93.1356,93.1533,93.1262,93.1356,456651
2018-03-07,93.1533,93.1626,93.1449,93.1449,295943
2018-03-08,93.1449,93.1707,93.1449,93.1707,834294
2018-03-09,93.1626,93.1801,93.1626,93.1707,2247663
2018-03-12,93.1707,93.1801,93.1626,93.1707,507392
2018-03-13,93.1801,93.1801,93.1626,93.1801,1057033
2018-03-14,93.1801,93.1887,93.1707,93.1707,1099405
2018-03-15,93.1801,93.1801,93.1626,93.1626,933300
2018-03-16,93.1887,93.1887,93.1707,93.1887,4654429
2018-03-19,93.1801,93.197,93.1707,93.1801,388650
2018-03-20,93.1801,93.1887,93.1707,93.1801,1949903
2018-03-21,93.1801,93.2138,93.1801,93.2138,5428505
2018-03-22,93.2138,93.2232,93.1887,93.1887,3780496
2018-03-23,93.2232,93.2232,93.2053,93.2232,2258464
2018-03-26,93.2138,93.2232,93.2138,93.2138,1450674
2018-03-27,93.2138,93.2416,93.2138,93.2416,2479918
2018-03-28,93.2322,93.2416,93.2232,93.2232,8141632
2018-03-29,93.2232,93.2649,93.2232,93.2649,856219
2018-04-02,93.2584,93.2584,93.2416,93.2584,2017407
2018-04-03,93.2499,93.2584,93.2416,93.2584,3655587
2018-04-04,93.2649,93.2742,93.2584,93.2649,6712676
2018-04-05,93.2649,93.2742,93.2584,93.2742,4287822
2018-04-06,93.2834,93.2834,93.2742,93.2742,1016116
2018-04-09,93.2928,93.2928,93.2742,93.2928,666574
2018-04-10,93.2928,93.2928,93.2834,93.2834,506140
2018-04-11,93.2742,93.2928,93.2742,93.2928,1000701
2018-04-12,93.3022,93.3022,93.2834,93.2928,3104901
2018-04-13,93.2928,93.3022,93.2928,93.3022,1897512
2018-04-16,93.3022,93.3022,93.2834,93.3022,988316
2018-04-17,93.3022,93.3022,93.2928,93.3022,1189609
2018-04-18,93.3022,93.3022,93.2834,93.3022,2083957
2018-04-19,93.3022,93.3112,93.3022,93.3022,3400786
2018-04-20,93.3112,93.3112,93.3022,93.3112,953441
2018-04-23,93.3022,93.3112,93.3022,93.3112,977149
2018-04-24,93.3112,93.3205,93.3022,93.3205,2539217
2018-04-25,93.3205,93.3205,93.3022,93.3205,1026258
2018-04-26,93.3301,93.3382,93.3205,93.3301,1952790
